
=== Vitoria (vitoria) ===
Fecha               Rival                       Resultado    Pace    ORtg    DRtg     Net
-----------------------------------------------------------------------------------------
Wed, Jun 3, 2026    Club Joventut Badalona      85-71        84.8   102.2    82.2    20.0
Fri, Jun 5, 2026    Club Joventut Badalona      63-82        86.6    71.8    96.0   -24.3
Sun, Jun 7, 2026    Club Joventut Badalona      88-96        84.8   105.3   111.6    -6.4
Sun, Nov 23, 2025   Bilbao                      110-91       83.8   129.7   109.9    19.8
Sun, Feb 15, 2026   Bilbao                      76-69        78.0   101.6    85.0    16.6

=== Forma reciente Vitoria (últimos 5 partidos jugados) ===
Jugador                       PJ    MIN    PTS  PTS/36    eFG%     TS%
----------------------------------------------------------------------
Timothe Luwawu-Cabarrot        4   24.1   15.0    24.1   53.3%   59.0%
Trent Forrest                  4   26.4   12.2    16.8   64.1%   65.9%
Mamadi Diakite                 5   26.1   11.8    16.8   44.2%   52.0%
Matteo Spagnolo                5   24.3   11.0    16.3   57.4%   59.7%
Hamidou Diallo                 1   18.5   10.0    19.4   50.0%   56.3%
Kobi Simmons                   4   20.6   10.0    16.7   63.2%   69.5%
Markus Howard                  2   22.1    9.0    15.2   47.2%   55.1%
Eugene Omoruyi                 4   18.5    8.8    15.6   52.5%   62.4%
Rodions Kurucs                 5   22.5    8.4    14.5   49.7%   53.7%
Khalifa Diop                   2    9.9    5.0    18.2   75.0%   80.6%
Gytis Radzevicius              4   16.7    4.5     8.5   64.1%   64.8%
Jesse Edwards                  3    9.3    3.0    15.5   66.7%   68.9%
Clement Frisch                 3    9.5    2.7    23.0   40.0%   40.0%
Rafa Villar                    5   10.1    1.4     6.0   30.6%   39.4%
Tadas Sedekerskis              2    9.8    1.0     5.7   12.5%   12.5%
Stefan Joksimovic              1    1.5    0.0       -    0.0%    0.0%

=== Bilbao (bilbao) ===
Fecha               Rival                       Resultado    Pace    ORtg    DRtg     Net
-----------------------------------------------------------------------------------------
Fri, May 29, 2026   La Laguna Tenerife          87-82        81.6   110.4    97.2    13.2
Wed, Jun 3, 2026    Valencia Basket Club        80-83        86.5    92.8    95.6    -2.8
Fri, Jun 5, 2026    Valencia Basket Club        71-88        89.6    77.0   101.1   -24.1
Sun, Nov 23, 2025   Vitoria                     91-110       83.8   109.9   129.7   -19.8
Sun, Feb 15, 2026   Vitoria                     69-76        78.0    85.0   101.6   -16.6

=== Forma reciente Bilbao (últimos 5 partidos jugados) ===
Jugador                       PJ    MIN    PTS  PTS/36    eFG%     TS%
----------------------------------------------------------------------
Tryggvi Hlinason               5   23.9   12.2    18.4   68.2%   70.9%
Martin Krampelj                5   18.0   10.2    19.3   54.3%   69.0%
Jan Patrick Melwin Pantzar     5   25.7    9.0    12.3   36.3%   46.8%
Darrun Hilliard                5   21.9    8.6    17.0   33.1%   41.3%
Margiris Normantas             5   20.3    8.2    14.3   71.9%   71.6%
Luke Petrasek                  5   19.5    7.2    15.9   63.9%   64.8%
Aleix Font                     4   12.9    6.8    20.7   54.5%   54.5%
Justin Jaworski                5   18.6    6.6    14.4   35.8%   38.2%
Harald Frey                    5   16.5    4.6    11.5   29.0%   35.2%
Bassala Bagayoko               5   12.1    4.0    12.7   79.2%   77.8%
Stefan Lazarevic               4   11.0    3.5    12.5   74.1%   75.1%
Amar Sylla                     3    7.2    1.3    10.4   50.0%   53.2%

=== Enfrentamientos directos: Vitoria vs Bilbao ===

Sun, Nov 23, 2025 — Vitoria 110 - 91 Bilbao
  Pace: 83.8 | Vitoria ORtg/DRtg/Net: 129.7/109.9/19.8 | Bilbao ORtg/DRtg/Net: 109.9/129.7/-19.8
  -- Vitoria --
    Jugador                        MIN  PTS  REB  AST  PTS/36    eFG%     TS%
    Timothe Luwawu-Cabarrot      18:30   24    1    2    46.7  100.0%  101.0%
    Markus Howard                20:52   14    -    2    24.2   44.4%   60.1%
    Mamadi Diakite               20:16   12    4    2    21.3   70.0%   74.3%
    Matteo Spagnolo              23:54   11    5    5    16.6   50.0%   60.6%
    Hamidou Diallo               18:31   10    2    4    19.4   50.0%   56.3%
    Khalifa Diop                 19:44   10    5    2    18.2   75.0%   80.6%
    Rodions Kurucs               16:55    9    4    -    19.2   58.3%   65.4%
    Clement Frisch               12:32    8    2    -    23.0   80.0%   80.0%
    Kobi Simmons                 17:50    6    3    2    12.1   62.5%   67.6%
    Rafa Villar                  18:13    4    -    4     7.9   66.7%   66.7%
    Tadas Sedekerskis            12:43    2    2    1     5.7   25.0%   25.0%
  -- Bilbao --
    Jugador                        MIN  PTS  REB  AST  PTS/36    eFG%     TS%
    Darrun Hilliard              21:24   16    3    1    26.9   62.5%   72.2%
    Margiris Normantas           22:56   15    1    3    23.5   54.5%   60.9%
    Martin Krampelj              21:35   15    4    1    25.0   71.4%   81.5%
    Jan Patrick Melwin Pantzar   29:02   12    2    3    14.9   91.7%   93.2%
    Luke Petrasek                17:02   12    3    1    25.4  100.0%  100.0%
    Tryggvi Hlinason             16:31    9    6    -    19.6   60.0%   66.6%
    Amar Sylla                   13:47    4    1    -    10.4  100.0%  106.4%
    Justin Jaworski              13:06    4    -    -    11.0   37.5%   45.0%
    Stefan Lazarevic             15:15    2    1    -     4.7   33.3%   33.3%
    Bassala Bagayoko             15:05    1    1    1     2.4       -   56.8%
    Harald Frey                  14:18    1    1    5     2.5    0.0%   26.6%
    Aleix Font                    0:00    -    -    -       -       -       -

Sun, Feb 15, 2026 — Bilbao 69 - 76 Vitoria
  Pace: 78.0 | Bilbao ORtg/DRtg/Net: 85.0/101.6/-16.6 | Vitoria ORtg/DRtg/Net: 101.6/85.0/16.6
  -- Bilbao --
    Jugador                        MIN  PTS  REB  AST  PTS/36    eFG%     TS%
    Martin Krampelj              22:31   16    5    1    25.6  100.0%   94.8%
    Aleix Font                   24:43   15    5    -    21.8   68.2%   68.2%
    Tryggvi Hlinason             24:35   10    6    1    14.6   45.5%   45.5%
    Jan Patrick Melwin Pantzar   25:45    9    9    4    12.6   36.4%   37.9%
    Luke Petrasek                21:10    7    5    2    11.9   87.5%   87.5%
    Margiris Normantas           21:47    5    1    1     8.3   35.7%   35.7%
    Harald Frey                  18:27    4    2    4     7.8   25.0%   25.0%
    Bassala Bagayoko             11:44    3    6    -     9.2   75.0%   75.0%
    Darrun Hilliard              15:17    -    1    -       -    0.0%    0.0%
    Justin Jaworski              14:01    -    -    -       -    0.0%    0.0%
    Kepa De Castro                0:00    -    -    -       -       -       -
    Urko Madariaga                0:00    -    -    -       -       -       -
  -- Vitoria --
    Jugador                        MIN  PTS  REB  AST  PTS/36    eFG%     TS%
    Eugene Omoruyi               21:48   15    5    4    24.8  100.0%   99.7%
    Mamadi Diakite               30:59   12    6    1    13.9   34.6%   40.7%
    Trent Forrest                26:19   12    8    5    16.4   71.4%   76.1%
    Gytis Radzevicius            26:34   11    6    1    14.9   56.2%   59.0%
    Matteo Spagnolo              21:39   11    2    2    18.3   61.1%   61.1%
    Rodions Kurucs               18:29    9    1    2    17.5   50.0%   50.0%
    Markus Howard                23:25    4    1    1     6.1   50.0%   50.0%
    Rafa Villar                  14:06    2    4    -     5.1   25.0%   25.0%
    Clement Frisch               15:09    -    4    -       -    0.0%    0.0%
    Khalifa Diop                  0:04    -    -    -       -       -       -
    Stefan Joksimovic             1:28    -    -    -       -    0.0%    0.0%

=== Avisos de calidad de datos ===
  Sin incidencias detectadas.
